Medical School Name,Country,City Name
AFGHAN SWISS MEDICAL INSTITUTE OF HIGHER EDUCATION,Afghanistan,Kabul
"AFGHAN WOMEN MORAA INSTITUTE OF HIGHER EDUCATION, FACULTY OF MEDICINE",Afghanistan,Kabul
AHMAD SHAH ABDALI INSTITUTE OF HIGHER EDUCATION FACULTY OF CURATIVE MEDICINE,Afghanistan,Khost
ALBERONI UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Kohistan
ARIA UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Mazar-i-Sharif
"ARIANA INSTITUTE OF HIGHER EDUCATION SCHOOL OF CURATIVE MEDICAL SCIENCES, KABUL",Afghanistan,Kabul
"ARIANA INSTITUTE OF HIGHER EDUCATION SCHOOL OF CURATIVE MEDICAL SCIENCES, NANGARHAR",Afghanistan,Jalalabad
BALKH UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Mazar-i-Sharif
BAYAZID ROKHAN INSTITUTE OF HIGHER EDUCATION,Afghanistan,Kabul
BOST UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Lashkar Gah
CHERAGH MEDICAL INSTITUTE,Afghanistan,Kabul
DAWAT UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Kabul
GHALIB UNIVERSITY MEDICAL SCIENCE FACULTY HERAT,Afghanistan,Herat
GHALIB UNIVERSITY MEDICAL SCIENCE FACULTY KABUL,Afghanistan,Kabul
HAKIM SANAYEE UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Pul-e Khomri
HERAT UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Herat
KABUL UNIVERSITY OF MEDICAL SCIENCES FACULTY OF MEDICINE,Afghanistan,Kabul
KANDAHAR UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Kandahar
KATEB UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Kabul
KHATAM AL NABIEEN UNIVERSITY KABUL FACULTY OF MEDICINE,Afghanistan,Kabul
MALALAY INSTITUTE OF HIGHER EDUCATION,Afghanistan,Kandahar
MAWLANA JALALUDDIN MOHAMMAD BALKHI UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Mazar-i-Sharif
MILI INSTITUTE OF HIGHER EDUCATION,Afghanistan,Kabul
MIRWAIS NEEKA INSTITUTE OF HIGHER EDUCATION,Afghanistan,Kandahar
MUSLIM UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Ghazni
NANGARHAR UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Jalalabad
PAKTIA UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Gardez
RAHNAWARD INSTITUTE OF HIGHER EDUCATION FACULTY OF MEDICINE,Afghanistan,Mazar-i-Sharif
ROKHAN INSTITUTE OF HIGHER EDUCATION FACULTY OF MEDICINE,Afghanistan,Jalalabad
SHAIKH ZAYED BIN SULTAN AL NAHYAN UNIVERSITY FACULTY OF MEDICINE,Afghanistan,Khost
"SPINGHAR INSTITUTE OF HIGHER EDUCATION, KABUL",Afghanistan,Kabul
"SPINGHAR INSTITUTE OF HIGHER EDUCATION, NANGARHAR",Afghanistan,Jalalabad
TAJ INSTITUTE OF HIGHER EDUCATION FACULTY OF MEDICINE,Afghanistan,Mazar-i-Sharif
WADI HELMAND INSTITUTE OF HIGHER EDUCATION FACULTY OF MEDICINE,Afghanistan,Helmand
ZAWUL INSTITUTE OF HIGHER EDUCATION FACULTY OF MEDICINE,Afghanistan,Kabul
OUR LADY OF GOOD COUNSEL UNIVERSITY FACULTY OF MEDICINE,Albania,Tiranë
UNIVERSITY OF MEDICINE OF TIRANA FACULTY OF MEDICINE,Albania,Tiranë
UNIVERSITÉ ABOU BEKR BELKAID TLEMCEN FACULTÉ DE MÉDECINE,Algeria,Tlemcen
UNIVERSITÉ BADJI MOKHTAR D'ANNABA FACULTÉ DE MÉDECINE,Algeria,Annaba
UNIVERSITÉ BATNA 2 FACULTÉ DE MÉDECINE,Algeria,Batna
UNIVERSITÉ CONSTANTINE 3 FACULTÉ DE MÉDECINE,Algeria,Constantine
UNIVERSITÉ D'ALGER BENYOUCEF BENKHEDDA FACULTÉ DES SCIENCES MÉDICALES,Algeria,Algiers
UNIVERSITÉ D'ORAN 1 AHMED BEN BELLA FACULTÉ DE MÉDECINE,Algeria,Oran
UNIVERSITÉ DE BÉJAÏA FACULTÉ DE MÉDECINE,Algeria,Béjaïa
UNIVERSITÉ DE MOSTAGANEM ABDELHAMID IBN BADIS FACULTÉ DE MÉDECINE,Algeria,Mostaganem
UNIVERSITÉ DJILLALI LIABES DE SIDI BEL-ABBÈS FACULTÉ DE SCIENCES MÉDICALES,Algeria,Sidi-Bel-Abbès
UNIVERSITÉ FERHAT ABBAS DE SÉTIF (UFAS) FACULTÉ DE MÉDECINE,Algeria,Sétif
